"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SB-MB-A","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","9.5",1,,1,,1,,,,,,
"SB-MB-A+F","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","9.5",1,,1,,1,,,,,,
"SB-MD","\P 09h30-10h30 MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"9.5","10.5",1,,1,,1,,,,,,
"SB-ME-A","\P 10h-11h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,10,11,1,,1,,1,,,,,,
"SB-MF","\P 10h30-11h30 MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"10.5","11.5",1,,1,,1,,,,,,
"SB-MG","\P 11h-12h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,11,12,1,,1,,1,,,,,,
"SB-MG-A","\P 11h-12h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,11,12,1,,1,,1,,,,,,
"SB-MI","\P 06h30-07h30 MAR. JEU. 1 MARS AU 1 DEC",03-01,12-01,,"6.5","7.5",1,,1,,1,,,,,,
"SB-MJ","\P 12h-13h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,12,13,1,,1,,1,,,,,,
"SB-MK","\P 12h30-13h30 MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"12.5","13.5",1,,1,,1,,,,,,
"SB-MK-A","\P 12h30-13h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"12.5","13.5",1,,1,,1,,,,,,
"SB-ML","\P 21h30-22h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"21.5","22.5",1,1,,,1,,,,,,
"SB-ML-A","\P 21h30-22h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"21.5","22.5",1,1,,,1,,,,,,
"SB-MM","\P 13h30-14h30 MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"13.5","14.5",1,,1,,1,,,,,,
"SB-MO-A","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"14.5","15.5",1,,1,,1,,,,,,
"SB-MO-A+F","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"14.5","15.5",1,,1,,1,,,,,,
"SB-MR-A","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,16,17,1,,1,,1,,,,,,
"SB-MR-A+F","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,16,17,1,,1,,1,,,,,,
"SB-MS","\P 13h-14h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,13,14,1,,1,,1,,,,,,
"GS-A-10","FL. 2 - P2",,,,,,0,,,,,,,,1,,"paid"
"SB-MT","\P 14h-15h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,14,15,1,,1,,1,,,,,,
"SB-MT-A+F","\P 14h-15h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,14,15,1,,1,,1,,,,,,
"SB-MU","\P 07h-08h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,7,8,1,1,,,1,,,,,,
"SB-MU-A","\P 07h-08h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,8,1,1,,,1,,,,,,
"SB-MV","\P 07h30-08h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"7.5","8.5",1,1,,,1,,,,,,
